word;2_00;2_10
allerlekkerste;-;F
asbestwegen;-;F
persoonlijkheidstrekken;-;F
taaleisen;-;F
ondersteuningstaken;-;F
verdedigingsstellingen;-;F
verdovingspijltjes;-;F
bosvegetaties;-;F
draailieren;-;F
pilotwinkels;-;F
herontwikkelingslocaties;-;F
flatpanels;-;F
dubbelpionnen;-;F
Bijbelvertalers;-;F
Cantabrische;-;F
Scandinaviërs;-;F
Timorezen;-;F
Tunesiërs;-;F
aanbodgestuurde;-;F
afgeknald;-;F
allesverwoestende;-;F
allesverzengende;-;F
bedrijfsvoeringsbudgetten;-;F
bedrijfsvoeringsprocessen;-;F
bedrijfsvoeringssystemen;-;F
beroepsbegeleidende;-;F
biatleten;-;F
bolbloemen;-;F
buitengemeentelijke;-;F
conservatievelingen;-;F
contaminanten;-;F
descriptoren;-;F
foutste;-;F
hagelnieuwe;-;F
herontwikkelingsplannen;-;F
inbreukprocedures;-;F
jackfruits;-;F
leidingbeheerders;-;F
loonaanvullingen;-;F
mededingingsverstorende;-;F
onderpresteerders;-;F
ondertoezichtgestelden;-;F
onderwijsondersteuners;-;F
ongewenstverklaringen;-;F
openbaarvervoersystemen;-;F
progressievelingen;-;F
socialezekerheidsinstellingen;-;F
standaardisatieorganisaties;-;F
standplaatszoekenden;-;F
ventilatie-installaties;-;F
ventilatiemogelijkheden;-;F
verdedigingssporten;-;F
verenigingsondersteuners;-;F
verkoopbevorderende;-;F
vroegboekkortingen;-;F
weersverschijnselen;-;F
angstverminderende;-;F
aardbevingsbestendige;-;F
ventilatieleidingen;-;F
andersgekleurden;-;F
opvoedingsondersteuners;-;F
zandgele;-;F
meeverbrandingsinstallaties;-;F
ontwikkelingspartnerschappen;-;F
verslechteringsfactoren;-;F
depressievelingen;-;F
apparaatinstellingen;-;F
beleidsondersteuners;-;F
verdedigingsgrachten;-;F
reizigerstellingen;-;F
voorlichtingsspotjes;-;F
Arabisch-Palestijnse;-;F
kinderbijslaginstellingen;-;F
allesoverkoepelende;-;F
uitvloeiingsgesteenten;-;F
aansprakelijkgestelden;-;F
gepensioneerdenverenigingen;-;F
regentengeslachten;-;F
foutst;-;F
Boekenweekgeschenk;-;H
Apachedansen;-;H
Curriculum Vitae;-;H
Katharen;-;H
Vondeliaanse;-;H
Sinterklaastijd;-;H
d;-;K
j;-;K
k;-;K
n;-;K
r;-;K
re;-;K
t;-;K
v;-;K
w;-;K
z;-;K
allernaaste;-;K
breedlachend;-;K
huwelijks;-;K
boekenweekessay;-;K
Nieuw-Castilië;-;K
newtoniaans;-;K
tolstojaans;-;K
wagneriaans;-;K
West-Germaans;-;K
Noord-Germaans;-;K
Oost-Germaans;-;K
ontkroesd;-;K
vergrauwd;-;K
bemeesterd;-;K
cyclecrossen;-;K
cyclocrossen;-;K
lazerstralen;-;K
mishoord;-;K
ontvloeid;-;K
Brugman;-;K
Jehova;-;K
senaat;-;K
Kaapvaarder;-;K
Oranjeselectie;-;K
Morgenster;-;K
Greenwichtijd;-;K
Oranjespeler;-;K
Moskovisch;-;K
V-riem;-;K
pro-Deoadvocaat;-;K
pro-Servisch;-;K
Duitssprekend;-;K
Opperlands;-;K
pro-Iraaks;-;K
Oud-Romeins;-;K
twintigvoud;-;K
Vietnamsyndroom;-;K
voorzuiveren;-;K
opruimingscommando;-;K
vijflandentoernooi;-;K
mortiergeschut;-;K
burgerpolitie;-;K
typescript;-;K
turkoloog;-;K
buitengewonelastenregeling;-;K
openluchtrecreatiebeleid;-;K
drugbende;-;K
vleessnijmachine;-;K
drempelkosten;-;K
ruimterecht;-;K
videoaanbod;-;K
broodwinkel;-;K
buitendruk;-;K
vluchtelingenbureau;-;K
kredieturen;-;K
koopopdracht;-;K
dagtekst;-;K
voedselvlucht;-;K
vleesmachine;-;K
dossierdiploma;-;K
voodoo-economie;-;K
voorzitter-directeur;-;K
achtertoneel;-;K
aha-effect;-;K
alfa-effect;-;K
fondueset;-;K
auto-import;-;K
bandgeheugen;-;K
ditjes-en-datjes;-;K
bètaverval;-;K
binnenwacht;-;K
biofruit;-;K
bootrace;-;K
brandraam;-;K
DNA-lid;-;K
euro-enthousiasme;-;K
vliegtuigenfabriek;-;K
montage-instructie;-;K
Sovjet-socialisme;-;K
Sranantongo;-;K
SRD;-;K
Slotfeest;-;K
stokpop;-;K
terugtrekkingsschema;-;K
statensysteem;-;K
levensector;-;K
servicesector;-;K
stortgeld;-;K
sporttaal;-;K
objecttaal;-;K
schoolclub;-;K
superclub;-;K
maatvis;-;K
startvergunning;-;K
margetheater;-;K
oerbeginsel;-;K
reclameomzet;-;K
jeugdconcert;-;K
nachtlogies;-;K
wijnpokken;-;K
zeebewoner;-;K
taaldaad;-;K
topbridge;-;K
Alpijns;-;K
Helhond;-;K
Inwijdingsfeest;-;K
paars-rood;-;K
Vopo;-;K
vos-cursus;-;K
studententoneel;-;K
glasstralen;-;K
summerschool;-;K
koffie-ijs;-;K
autowegenvignet;-;K
handklavier;-;K
theateraffiche;-;K
zelftankstation;-;K
zaalkorfbal;-;K
studentenzwangerschap;-;K
oergesteente;-;K
deeltijdberoepsonderwijs;-;K
dobbelsteentje;-;K
vlinderstrikje;-;K
krulset;-;K
nepantiek;-;K
graanboer;-;K
hoofdpijnwijn;-;K
verslagweek;-;K
krijtgrond;-;K
muziekkritiek;-;K
trapezeartiest;-;K
aerobiccen;-;K
chargen;-;K
corveeën;-;K
coupen;-;K
geografe;-;K
ineenduiken;-;K
yahtzeeën;-;K
zaketui;-;K
voorwerpglas;-;K
elftalspeler;-;K
ftp'en;-;K
ijsracen;-;K
coupplan;-;K
pasbenoemd;-;K
kiteboarden;-;K
Griekstalig;-;K
pro-Iraans;-;K
wegritsen;-;K
Brits-Indisch;-;K
skimonitor;-;K
Turkssprekend;-;K
opgraver;-;K
Oudnoors;-;K
Turkstalig;-;K
maagpatiënt;-;K
jeukbult;-;K
B-52-bommenwerper;-;K
Russischtalig;-;K
vakantiedia;-;K
polaroidfoto;-;K
buurtwachter;-;K
kinderfoto;-;K
scènewisseling;-;K
kameelachtige;-;K
duinplant;-;K
geweersalvo;-;K
organisatiepatroon;-;K
prijsconcessie;-;K
opeenklemmen;-;K
romusha;-;K
steenformatie;-;K
preiring;-;K
propaganda-uitzending;-;K
visgat;-;K
standsuitgave;-;K
skeletdeel;-;K
Spaanssprekend;-;K
lomschool;-;K
wagenveer;-;K
zoutlozing;-;K
veellezer;-;K
ogenpotlood;-;K
bierschuim;-;K
stuwdamproject;-;K
standgenoot;-;K
filmapparaat;-;K
leerling-verpleegster;-;K
afrikanisering;-;K
gedender;-;K
penicilline-injectie;-;K
kloostertafel;-;K
benzineaansteker;-;K
kikkerproef;-;K
mangroveboom;-;K
gerijm;-;K
gerasp;-;K
geram;-;K
gepronk;-;K
gemieter;-;K
gebal;-;K
gefleem;-;K
gevlag;-;K
geveeg;-;K
geroer;-;K
gescandeer;-;K
geschilder;-;K
gesluip;-;K
gezwem;-;K
militie-eenheid;-;K
lpg-tank;-;K
spekzool;-;K
rasgenoot;-;K
optie-index;-;K
onjoods;-;K
cacaoboer;-;K
trekkingsdatum;-;K
zieligjes;-;K
vetkrijtje;-;K
sponsrubber;-;K
geestesmerk;-;K
welzijnskoepel;-;K
ondergevel;-;K
schoenpoetsen;-;K
appelwang;-;K
binnenklimmen;-;K
badkamertegel;-;K
smeedstalen;-;K
prozastuk;-;K
bokkenpootje;-;K
biedermeiertje;-;K
baardstoppel;-;K
wijndistrict;-;K
uiteten;-;K
kopijvel;-;K
compactdiscspeler;-;K
omhoogkijken;-;K
fopper;-;K
zeper;-;K
haakster;-;K
kwaker;-;K
rijmer;-;K
herschrijver;-;K
overlegger;-;K
peinzer;-;K
pingponger;-;K
verfilmer;-;K
voordoek;-;K
onbegaan;-;K
achtersteek;-;K
Vermeylenfonds;-;K
hartstimulator;-;K
inklaarder;-;K
Sudeten-Duitser;-;K
hefboomarm;-;K
houtspaan;-;K
vloeiwei;-;K
vuurgeleidingssysteem;-;K
perenhouten;-;K
dennenhouten;-;K
stripteaseshow;-;K
vanilleyoghurt;-;K
godver;-;K
hoedna;-;K
ginter;-;K
volgbod;-;K
ereloge;-;K
kuurbad;-;K
ringarts;-;K
maakkans;-;K
zeskaart;-;K
slagwoord;-;K
yenkoers;-;K
troefslag;-;K
troefheer;-;K
afwasteil;-;K
baroktuin;-;K
clownsduo;-;K
operakoor;-;K
pionwinst;-;K
cognacglas;-;K
huismuziek;-;K
jeetjemina;-;K
knekelveld;-;K
pastasoort;-;K
nylonkoord;-;K
schaatstop;-;K
roebelzone;-;K
randschijf;-;K
slaapwagon;-;K
squashbond;-;K
zevenkaart;-;K
zielsgraag;-;K
setsysteem;-;K
advieskoers;-;K
bordreclame;-;K
enkelspeler;-;K
kioskhouder;-;K
luipaardvel;-;K
meccanodoos;-;K
noodkabinet;-;K
looningreep;-;K
parenbridge;-;K
paardsprong;-;K
profhonkbal;-;K
pariastatus;-;K
prozabundel;-;K
roebelkoers;-;K
spijkergoed;-;K
potjandorie;-;K
poencontract;-;K
schaatsplank;-;K
aramidevezel;-;K
bondssponsor;-;K
afbladdering;-;K
daggeldrente;-;K
hamsterwoede;-;K
klavierleeuw;-;K
kijkersgunst;-;K
leidersstijl;-;K
lombardrente;-;K
lintmacaroni;-;K
mammoetorder;-;K
messenverbod;-;K
snookersport;-;K
verspringbak;-;K
zeetankvaart;-;K
schrijfarbeid;-;K
schoppenkleur;-;K
spelerslounge;-;K
sprongservice;-;K
symboolfiguur;-;K
travestierol;-;K
afvoertroepen;-;K
emissieleider;-;K
hulppredikant;-;K
lanspuntslang;-;K
militarysport;-;K
papierprikker;-;K
parentoernooi;-;K
onderduiktijd;-;K
sportofficial;-;K
tribuneplaats;-;K
waarborgstaat;-;K
toetsenspeler;-;K
voortsudderen;-;K
turninternaat;-;K
verschoolsing;-;K
zijspanklasse;-;K
repertoirekeus;-;K
bankierswereld;-;K
badmintonploeg;-;K
discontotarief;-;K
bauxietbedrijf;-;K
finlandisering;-;K
goedgeschreven;-;K
griezelkabinet;-;K
mimegezelschap;-;K
ministerstafel;-;K
tarievenstrijd;-;K
stemmingsindex;-;K
conjunctuurtest;-;K
beleningstarief;-;K
badmintonwereld;-;K
miljoenenoplage;-;K
opwaardeerkaart;-;K
overbewinkeling;-;K
onderwereldbaas;-;K
plichtmatigheid;-;K
sprintkernploeg;-;K
wagenbegeleider;-;K
weerstandsgrens;-;K
terugspeelregel;-;K
niervergiftiging;-;K
